How and what university students learn through online and face-to-face discussion: conceptions,  intentions and approaches
Disk Failures in the Real World: What Does an MTTF of 1, 000
Refactoring bacteriophage T7, Natural biological systems are selected by evolution to continue to exist and evolve. Evolution likely gives rise to complicated systems that are difficult to understand and manipulate. Here
Information technology and economic performance: A critical review of the empirical evidence, For many years
Genome-scale evidence of the nematode-arthropod clade, {BACKGROUND:The} issue of whether coelomates form a single clade
Early experiences with personal health records., Over the past year
Structure and randomness in combinatorics, Combinatorics
Assistive technology in elderly care, New developments in assistive technology are likely to make an important contribution to the care of elderly people in institutions and at home. Video-monitoring
Face Recognition by Humans: Nineteen Results All Computer Vision Researchers Should Know About, A key goal of computer vision researchers is to create automated face recognition systems that can equal
Component Software: Beyond Object-Oriented Programming, The author describes his book as a ""unique blend of market and technology coverage
Designing for usability: key principles and what designers think, This article is both theoretical and empirical. Theoretically
Wavelets in bioinformatics and computational biology: state of art and perspectives, Motivation: At a recent meeting{dagger}
Robustness in bacterial chemotaxis., Networks of interacting proteins orchestrate the responses of living cells to a variety of external stimuli
An analysis of the most cited articles in software engineering journals--1999, Citations and related work are crucial in any research to position the work and to build on the work of others. A high citation count is an indication of the influence of specific articles. The importance of citations means that it is interesting to analyze which articles are cited the most. Such an analysis has been conducted using the ISI Web of Science to identify the most cited software engineering journal articles published in 2000. The objective of the analysis is to identify and list the articles that have influenced others the most as measured by citation count. An understanding of which research is viewed by the research community as most valuable to build upon may provide valuable insights into what research to focus on now and in the future. Based on the analysis
An evaluation of scalable application-level multicast built using peer-to-peer overlays, Structured peer-to-peer overlay networks such as CAN
Bioconductor: open software development for computational biology and bioinformatics, The Bioconductor project is an initiative for the collaborative creation of extensible software for computational biology and bioinformatics. We detail some of the design decisions
Interfaces and the driving force of hydrophobic assembly, The hydrophobic effect {\^a}聙聰the tendency for oil and water to segregate {\^a}聙聰is important in diverse phenomena
Automatic extraction of gene/protein biological functions from biomedical text, MOTIVATION: With the rapid advancement of biomedical science and the development of high-throughput analysis methods
A domain-independent framework for modeling emotion, In this article
Disordered Electronic Systems, This paper reviews the progress made in the last several years in understanding the properties of disordered electronic systems. Even in the metallic limit; serious deviations from the Boltzmann transport theory and Fermi-liquid theory have been predicted and observed experimentally. There are two important ingredients in this new understanding: the concept of Anderson localization and the effects of interaction between electrons in a disordered medium. This paper emphasizes the theoretical aspect; even though some of the relevant experiments are also examined. The bulk of the paper focuses on the metallic side; but the authors also discuss the metal-to-insulator transition and comment on problems associated with the insulator."
Participation,  Remediation
Securing web application code by static analysis and runtime protection, Security remains a major roadblock to universal acceptance of the {W}eb for many kinds of transactions
The GNUMAP algorithm: unbiased probabilistic mapping of oligonucleotides from next-generation sequencing, Motivation: The advent of next-generation sequencing technologies has increased the accuracy and quantity of sequence data
Signed Networks in Social Media, Relations between users on social media sites often reflect a mixture of positive (friendly) and negative (antagonistic) interactions. In contrast to the bulk of research on social networks that has focused almost exclusively on positive interpretations of links between people
Actions Sketch: A Novel Action Representation, In this paper
Information-Based Objective Functions for Active Data Selection, Learning can be made more efficient if we can actively select particularly salient data points. Within a Bayesian learning framework
Hypertext Theory and Criticism: An Annotated Bibliography, Hypertext theory and criticism is an emerging and exciting area of research. To facilitate research in hypertext studies
A computational screen for methylation guide snoRNAs in yeast., Small nucleolar RNAs (snoRNAs) are required for ribose 2'-O-methylation of eukaryotic ribosomal RNA. Many of the genes for this snoRNA family have remained unidentified in Saccharomyces cerevisiae
Genome-wide strategies for detecting multiple loci that influence complex diseases, After nearly 10 years of intense academic and commercial research effort
Corpus annotation for mining biomedical events from literature., ABSTRACT: BACKGROUND: Advanced text-mining (TM) such as semantic enrichment of papers
Program Slicing, Program slicing is a method used by experienced computer programmers for abstracting from programs. Starting from a subset of a program's behavior
ATM and ATR Substrate Analysis Reveals Extensive Protein Networks Responsive to DNA Damage, Cellular responses to DNA damage are mediated by a number of protein kinases
Exploring the functional landscape of gene expression: directed search of large microarray compendia., MOTIVATION: The increasing availability of gene expression microarray technology has resulted in the publication of thousands of microarray gene expression datasets investigating various biological conditions. This vast repository is still underutilized due to the lack of methods for fast
SKOS: Simple Knowledge Organisation for the Web, This article introduces the Simple Knowledge Organisation System (SKOS)
Can social bookmarking enhance search in the web?, Er paper degli ""aMManunensi"" propone una combinazione della metrica di ranking basata sui link con una derivata usando dati estratti dai dati sel social bookmarking. Fanno anche esperimenti sull'utilit{谩} dei dati dei sistemi di bookmarking nel miglioramento della ricerca web. Scopre che il 56% degli url
Structure validation by Calpha geometry: phi, psi and Cbeta deviation
Computational prediction of protein-protein interactions., Eukaryotic proteins typically contain one or more modular domains such as kinases
No simple dependence between protein evolution rate and the number of protein-protein interactions: only the most prolific interactors tend to evolve slowly, BACKGROUND: It has been suggested that rates of protein evolution are influenced
Toward Machine Emotional Intelligence: Analysis of Affective Physiological State, 鈥擳he ability to recognize emotion is one of the hallmarks of emotional intelligence
RNAi in budding yeast., RNA interference (RNAi)
How are complex cell properties adapted to the statistics of natural stimuli?, Sensory areas should be adapted to the properties of their natural stimuli. What are the underlying rules that match the properties of complex cells in primary visual cortex to their natural stimuli? To address this issue
Direct Optimization of Ranking Measures, Web page ranking and collaborative filtering require the optimization of sophisticated performance measures. Current Support Vector approaches are unable to optimize them directly and focus on pairwise comparisons instead. We present a new approach which allows direct optimization of the relevant loss functions. This is achieved via structured estimation in Hilbert spaces. It is most related to Max-Margin-Markov networks optimization of multivariate performance measures. Key to our approach is that during training the ranking problem can be viewed as a linear assignment problem
Ambient Findability: What We Find Changes Who We Become, {How do you find your way in an age of information overload? How can you filter streams of complex information to pull out only what you want? Why does it matter how information is structured when Google seems to magically bring up the right answer to your questions? What does it mean to be ""findable"" in this day and age?  This eye-opening new book examines the convergence of information and connectivity. Written by Peter Morville
Changes in the Velocity Structure of the Greenland Ice Sheet, Using satellite radar interferometry observations of Greenland
Histograms of Oriented Gradients for Human Detection, We study the question of feature sets for robust visual object recognition
Designing the spectator experience, Interaction is increasingly a public affair
Cinteny: flexible analysis and visualization of synteny and genome rearrangements in multiple organisms, BACKGROUND: Identifying syntenic regions
Spectra of random graphs with given expected degrees, In the study of the spectra of power-law graphs
Human disease-drug network based on genomic expression profiles., Background <p>Drug repositioning offers the possibility of faster development times and reduced risks in drug discovery. With the rapid development of high-throughput technologies and ever-increasing accumulation of whole genome-level datasets
Health information,  the Internet
Reference scenarios for deforestation and forest degradation in support of REDD: a review of data and methods, Global climate policy initiatives are now being proposed to compensate tropical forest nations for reducing carbon emissions from deforestation and forest degradation (REDD). These proposals have the potential to include developing countries more actively in international greenhouse gas mitigation and to address a substantial share of the world's emissions which come from tropical deforestation. For such a policy to be viable it must have a credible benchmark against which emissions reduction can be calculated. This benchmark
Mostly Harmless Econometrics: An Empiricist's Companion, The core methods in today's econometric toolkit are linear regression for statistical control
Computing Geodesics and Minimal Surfaces via Graph Cuts, Geodesic active contours and graph cuts are two standard image segmentation techniques. We introduce a new segmentation method combining some of their benefits. Our main intuition is that any cut on a graph embedded in some continuous space can be interpreted as a contour (in 2D) or a surface (in 3D). We show how to build a grid graph and set its edge weights so that the cost of cuts is arbitrarily close to the length (area) of the corresponding contours (surfaces) for any anisotropic Riemannian metric. There are two interesting consequences of this technical result. First
Structural Holes: The Social Structure of Competition, The study analyzes the social structure of competition. It addresses the consequences of voids in relational and resource networks. Competitive behavior can be understood in terms of player access to ""holes"" in the social structure of the competitive arena. Those ""structural holes"" are network gaps  between players which create entrepreneurial opportunities for information access
Entrez Gene: gene-centered information at NCBI, Entrez Gene (www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=gene) is NCBI's database for gene-specific information. It does not include all known or predicted genes; instead Entrez Gene focuses on the genomes that have been completely sequenced
TOPD/FMTS: a new software to compare phylogenetic trees, Summary: TOPD/FMTS has been developed to evaluate similarities and differences between phylogenetic trees. The software implements several new algorithms (including the Disagree method that returns the taxa that disagree between two trees and the Nodal method that compares two trees using nodal information) and several previously described methods (such as the Partition method
Multirelational Organization of Large-scale Social Networks in an Online World, The capacity to collect fingerprints of individuals in online media has revolutionized the way researchers explore human society. Social systems can be seen as a non-linear superposition of a multitude of complex social networks
Online communities: a longitudinal analysis of communication activities, Online communities (OCs) are seen as an important stimulus to electronic business. However
From genomics to chemical genomics: new developments in KEGG., The increasing amount of genomic and molecular information is the basis for understanding higher-order biological systems
Empirical Findings in Agile Methods, In recent years
Evaluating computer-supported cooperative work: models and frameworks, Evaluating distributed CSCW applications is a difficult endeavor. Frameworks and methodologies for structuring this type of evaluation have become a central concern for CSCW researchers. In this paper we describe the problems involved in evaluating remote collaborations
Prototype-referenced shape encoding revealed by high-level aftereffects., We used high-level configural aftereffects induced by adaptation to realistic faces to investigate visual representations underlying complex pattern perception. We found that exposure to an individual face for a few seconds generated a significant and precise bias in the subsequent perception of face identity. In the context of a computationally derived 'face space
Genome-wide association studies for complex traits: consensus,  uncertainty and challenges.
Ensemble based systems in decision making, In matters of great importance that have financial
The Origin of Species, {It's hard to talk about <I>The Origin of Species</I> without making statements that seem overwrought and fulsome. But it's true: this is indeed one of the most important and influential books ever written
Mapping and quantifying mammalian transcriptomes by RNA-Seq, We have mapped and quantified mouse transcriptomes by deeply sequencing them and recording how frequently each gene is represented in the sequence sample (RNA-Seq). This provides a digital measure of the presence and prevalence of transcripts from known and previously unknown genes. We report reference measurements composed of 41-52 million mapped 25-base-pair reads for poly(A)-selected RNA from adult mouse brain
Affective computing, {As a scientist who works in computer development
Genome-wide identification of post-translational modulators of transcription factor activity in human B cells, The ability of a transcription factor (TF) to regulate its targets is modulated by a variety of genetic and epigenetic mechanisms
The Systemic Imprint of Growth and Its Uses in Ecological (Meta)Genomics, Microbial minimal generation times range from a few minutes to several weeks. They are evolutionarily determined by variables such as environment stability
Software Component Models, Component-based Development (CBD) is an important emerging topic in Software Engineering
Sync: The Emerging Science of Spontaneous Order, Strogatz is a Cornell mathematician and pioneer of the science of synchrony
MicroRNA regulation of messenger-like noncoding RNAs: a network of mutual microRNA control, Metazoan microRNAs (miRNAs) are commonly encoded by primary mRNA-like characteristics (mlRNAs). To investigate whether mlRNAs are subject to miRNA control
The use of bayesian model averaging to better represent uncertainty in ecological models., In conservation biology
DrugBank: a comprehensive resource for in silico drug discovery and exploration., DrugBank is a unique bioinformatics/cheminformatics resource that combines detailed drug (i.e. chemical) data with comprehensive drug target (i.e. protein) information. The database contains >4100 drug entries including >800 FDA approved small molecule and biotech drugs as well as >3200 experimental drugs. Additionally
Aging and Death in an Organism That Reproduces by Morphologically Symmetric Division, In macroscopic organisms
Discovering high-affinity ligands for proteins: SAR by NMR., A nuclear magnetic resonance (NMR)-based method is described in which small organic molecules that bind to proximal subsites of a protein are identified
Understanding the Spreading Patterns of Mobile Phone Viruses, We modeled the mobility of mobile phone users in order to study the fundamental spreading patterns that characterize a mobile virus outbreak. We find that although Bluetooth viruses can reach all susceptible handsets with time
The FANTOM web resource: from mammalian transcriptional landscape to its dynamic regulation, ABSTRACT: In FANTOM4
